instance,checkpoint_s,z_min,z_mean,z_max,n_runs
dat/pb_500rnd0300.dat,0.0,730.0,749.0,763.0,3
dat/pb_500rnd0300.dat,2.0,730.0,749.0,763.0,3
dat/pb_500rnd0300.dat,4.0,730.0,749.0,763.0,3
dat/pb_500rnd0300.dat,6.0,730.0,749.0,763.0,3
dat/pb_500rnd0300.dat,8.0,730.0,749.0,763.0,3
dat/pb_500rnd0300.dat,10.0,730.0,749.0,763.0,3
dat/pb_500rnd0300.dat,12.0,730.0,749.0,763.0,3
dat/pb_500rnd0300.dat,14.0,730.0,749.0,763.0,3
dat/pb_500rnd0300.dat,16.0,730.0,749.0,763.0,3
dat/pb_500rnd0300.dat,18.0,730.0,749.0,763.0,3
dat/pb_500rnd0300.dat,20.0,730.0,749.0,763.0,3
dat/pb_500rnd0300.dat,22.0,730.0,749.0,763.0,3
dat/pb_500rnd0300.dat,24.0,730.0,749.0,763.0,3
dat/pb_500rnd0300.dat,26.0,730.0,749.0,763.0,3
dat/pb_500rnd0300.dat,28.0,730.0,749.0,763.0,3
dat/pb_500rnd0300.dat,30.0,730.0,749.0,763.0,3
dat/pb_500rnd0300.dat,32.0,730.0,749.0,763.0,3
dat/pb_500rnd1500.dat,0.0,1162.0,1170.667,1176.0,3
dat/pb_500rnd1500.dat,2.0,1162.0,1170.667,1176.0,3
dat/pb_500rnd1500.dat,4.0,1162.0,1170.667,1176.0,3
dat/pb_500rnd1500.dat,6.0,1162.0,1170.667,1176.0,3
dat/pb_500rnd1500.dat,8.0,1162.0,1170.667,1176.0,3
dat/pb_500rnd1500.dat,10.0,1162.0,1170.667,1176.0,3
dat/pb_500rnd1500.dat,12.0,1162.0,1170.667,1176.0,3
dat/pb_500rnd1500.dat,14.0,1162.0,1170.667,1176.0,3
dat/pb_500rnd1500.dat,16.0,1162.0,1170.667,1176.0,3
dat/pb_500rnd1500.dat,18.0,1162.0,1170.667,1176.0,3
dat/pb_500rnd1500.dat,20.0,1162.0,1170.667,1176.0,3
dat/pb_500rnd1500.dat,22.0,1162.0,1170.667,1176.0,3
dat/pb_500rnd1500.dat,24.0,1162.0,1170.667,1176.0,3
dat/pb_500rnd1500.dat,26.0,1162.0,1170.667,1176.0,3
dat/pb_500rnd1500.dat,28.0,1162.0,1170.667,1176.0,3
dat/pb_500rnd1500.dat,30.0,1162.0,1170.667,1176.0,3
dat/pb_500rnd1700.dat,0.0,173.0,176.667,184.0,3
dat/pb_500rnd1700.dat,2.0,173.0,176.667,184.0,3
dat/pb_500rnd1700.dat,4.0,173.0,176.667,184.0,3
dat/pb_500rnd1700.dat,6.0,173.0,176.667,184.0,3
dat/pb_200rnd0400.dat,0.0,62.0,62.0,62.0,3
dat/pb_200rnd0400.dat,2.0,62.0,62.0,62.0,3
dat/pb_200rnd0400.dat,4.0,62.0,62.0,62.0,3
dat/pb_200rnd0400.dat,6.0,62.0,62.0,62.0,3
dat/pb_200rnd0400.dat,8.0,62.0,62.0,62.0,3
dat/pb_200rnd0400.dat,10.0,62.0,62.0,62.0,3
dat/pb_200rnd0400.dat,12.0,62.0,62.0,62.0,3
dat/pb_200rnd0400.dat,14.0,62.0,62.0,62.0,3
dat/pb_200rnd0400.dat,16.0,62.0,62.0,62.0,3
dat/pb_200rnd0400.dat,18.0,62.0,62.0,62.0,3
dat/pb_200rnd0700.dat,0.0,991.0,991.333,992.0,3
dat/pb_200rnd0700.dat,2.0,991.0,991.333,992.0,3
dat/pb_200rnd0700.dat,4.0,991.0,991.333,992.0,3
dat/pb_200rnd0700.dat,6.0,991.0,991.333,992.0,3
dat/pb_1000rnd0100.dat,0.0,57.0,61.0,67.0,3
dat/pb_1000rnd0100.dat,2.0,57.0,61.0,67.0,3
dat/pb_1000rnd0100.dat,4.0,57.0,61.0,67.0,3
dat/pb_1000rnd0100.dat,6.0,57.0,61.0,67.0,3
dat/pb_1000rnd0300.dat,0.0,590.0,595.0,603.0,3
dat/pb_1000rnd0300.dat,2.0,590.0,595.0,603.0,3
dat/pb_1000rnd0300.dat,4.0,590.0,595.0,603.0,3
dat/pb_1000rnd0300.dat,6.0,590.0,595.0,603.0,3
dat/pb_1000rnd0300.dat,8.0,590.0,595.0,603.0,3
dat/pb_1000rnd0300.dat,10.0,590.0,595.0,603.0,3
dat/pb_1000rnd0300.dat,12.0,590.0,595.0,603.0,3
dat/pb_1000rnd0300.dat,14.0,590.0,595.0,603.0,3
dat/pb_1000rnd0300.dat,16.0,590.0,595.0,603.0,3
dat/pb_1000rnd0300.dat,18.0,590.0,595.0,603.0,3
dat/pb_1000rnd0300.dat,20.0,590.0,595.0,603.0,3
dat/pb_1000rnd0300.dat,22.0,590.0,595.0,603.0,3
dat/pb_1000rnd0300.dat,24.0,590.0,595.0,603.0,3
dat/pb_1000rnd0300.dat,26.0,590.0,595.0,603.0,3
dat/pb_1000rnd0300.dat,28.0,590.0,595.0,603.0,3
dat/pb_1000rnd0300.dat,30.0,590.0,595.0,603.0,3
dat/pb_1000rnd0300.dat,32.0,590.0,595.0,603.0,3
dat/pb_1000rnd0300.dat,34.0,590.0,595.0,603.0,3
dat/pb_1000rnd0300.dat,36.0,590.0,595.0,603.0,3
dat/pb_1000rnd0300.dat,38.0,590.0,595.0,603.0,3
dat/pb_1000rnd0300.dat,40.0,590.0,595.0,603.0,3