instance,method,alpha,run,best_value,cpu_time,iterations
pb_100rnd0100.dat,GRASP,0.1,1,366,0.777,200
pb_100rnd0100.dat,GRASP,0.1,2,367,0.66,200
pb_100rnd0100.dat,GRASP,0.1,3,367,0.69,200
pb_100rnd0100.dat,GRASP,0.5,1,370,0.397,200
pb_100rnd0100.dat,GRASP,0.5,2,368,0.394,200
pb_100rnd0100.dat,GRASP,0.5,3,370,0.387,200
pb_100rnd0100.dat,GRASP,0.9,1,352,0.403,200
pb_100rnd0100.dat,GRASP,0.9,2,352,0.44,200
pb_100rnd0100.dat,GRASP,0.9,3,352,0.435,200
pb_200rnd0700.dat,GRASP,0.1,1,984,7.04,200
pb_200rnd0700.dat,GRASP,0.1,2,992,7.094,200
pb_200rnd0700.dat,GRASP,0.1,3,986,6.979,200
pb_200rnd0700.dat,GRASP,0.5,1,990,2.294,200
pb_200rnd0700.dat,GRASP,0.5,2,997,2.174,200
pb_200rnd0700.dat,GRASP,0.5,3,1001,2.413,200
pb_200rnd0700.dat,GRASP,0.9,1,986,1.902,200
pb_200rnd0700.dat,GRASP,0.9,2,986,1.806,200
pb_200rnd0700.dat,GRASP,0.9,3,981,1.941,200
pb_500rnd0300.dat,GRASP,0.1,1,690,62.952,200
pb_500rnd0300.dat,GRASP,0.1,2,692,60.884,200
pb_500rnd0300.dat,GRASP,0.1,3,683,57.956,200
pb_500rnd0300.dat,GRASP,0.5,1,729,27.977,200
pb_500rnd0300.dat,GRASP,0.5,2,733,27.155,200
pb_500rnd0300.dat,GRASP,0.5,3,731,28.738,200
pb_500rnd0300.dat,GRASP,0.9,1,739,18.432,200
pb_500rnd0300.dat,GRASP,0.9,2,738,17.808,200
pb_500rnd0300.dat,GRASP,0.9,3,736,18.005,200
pb_500rnd1500.dat,GRASP,0.1,1,1115,82.126,200
pb_500rnd1500.dat,GRASP,0.1,2,1102,83.696,200
pb_500rnd1500.dat,GRASP,0.1,3,1109,80.829,200
pb_500rnd1500.dat,GRASP,0.5,1,1135,42.844,200
pb_500rnd1500.dat,GRASP,0.5,2,1134,40.723,200
pb_500rnd1500.dat,GRASP,0.5,3,1140,44.294,200
pb_500rnd1500.dat,GRASP,0.9,1,1123,32.682,200
pb_500rnd1500.dat,GRASP,0.9,2,1130,31.121,200
pb_500rnd1500.dat,GRASP,0.9,3,1123,35.503,200
pb_1000rnd0300.dat,GRASP,0.1,1,549,116.774,200
pb_1000rnd0300.dat,GRASP,0.1,2,547,115.608,200
pb_1000rnd0300.dat,GRASP,0.1,3,557,116.506,200
pb_1000rnd0300.dat,GRASP,0.5,1,594,61.747,200
pb_1000rnd0300.dat,GRASP,0.5,2,566,58.934,200
pb_1000rnd0300.dat,GRASP,0.5,3,566,86.74,200
pb_1000rnd0300.dat,GRASP,0.9,1,596,47.22,200
pb_1000rnd0300.dat,GRASP,0.9,2,588,49.591,200
pb_1000rnd0300.dat,GRASP,0.9,3,587,50.105,200